type	timestamp	epoch	step	train_accuracy	predict_labels	actual_labels
train	20200410133658	4	48	0.96875	[2 0 1 0 0 0 2 1]	[2 0 1 0 0 0 2 1]
train	20200410133709	4	49	0.96938777	[0 2 2 0 0 2 2 2]	[0 2 2 0 0 2 2 2]
train	20200410133721	4	50	0.97	[0 1 2 2 2 1 1 0]	[0 1 2 2 2 1 1 0]
train	20200410133733	4	51	0.9705882	[0 2 2 2 1 0 2 0]	[0 2 2 2 1 0 2 0]
train	20200410133746	4	52	0.96875	[1 2 2 0 0 0 0 1]	[0 2 2 0 0 0 0 1]
train	20200410133757	4	53	0.9693396	[0 0 1 2 1 1 0 2]	[0 0 1 2 1 1 0 2]
train	20200410133810	4	54	0.9699074	[0 2 2 1 1 0 2 0]	[0 2 2 1 1 0 2 0]
train	20200410133821	4	55	0.9681818	[0 0 2 0 1 2 2 0]	[0 1 2 0 1 2 2 0]
train	20200410133832	4	56	0.96651787	[2 0 2 2 2 0 2 2]	[2 1 2 2 2 0 2 2]
train	20200410133843	4	57	0.96710527	[2 2 0 1 0 0 0 1]	[2 2 0 1 0 0 0 1]
train	20200410133851	4	58	0.96746206	[2 2 0 1 0]	[2 2 0 1 0]
train	20200410134024	5	1	1.0	[2 2 1 1 2 2 1 2]	[2 2 1 1 2 2 1 2]
train	20200410134223	5	2	0.9375	[1 2 0 0 2 1 2 0]	[0 2 0 0 2 1 2 0]
train	20200410134231	5	3	0.9583333	[1 0 1 2 2 1 0 2]	[1 0 1 2 2 1 0 2]
train	20200410134242	5	4	0.96875	[1 1 2 2 2 0 1 2]	[1 1 2 2 2 0 1 2]
train	20200410134252	5	5	0.975	[0 2 2 0 0 1 0 2]	[0 2 2 0 0 1 0 2]
train	20200410134302	5	6	0.9791667	[2 1 0 0 0 2 2 2]	[2 1 0 0 0 2 2 2]
train	20200410134313	5	7	0.98214287	[2 0 2 0 2 0 0 2]	[2 0 2 0 2 0 0 2]
train	20200410134323	5	8	0.984375	[0 2 2 2 1 2 2 2]	[0 2 2 2 1 2 2 2]
train	20200410134334	5	9	0.9861111	[2 2 1 0 0 2 1 1]	[2 2 1 0 0 2 1 1]
train	20200410134345	5	10	0.9875	[2 0 2 2 2 0 2 2]	[2 0 2 2 2 0 2 2]
train	20200410134356	5	11	0.9886364	[0 2 2 2 0 2 1 1]	[0 2 2 2 0 2 1 1]
train	20200410134407	5	12	0.9895833	[0 0 2 0 0 2 2 0]	[0 0 2 0 0 2 2 0]
train	20200410134420	5	13	0.99038464	[2 2 1 2 1 2 2 2]	[2 2 1 2 1 2 2 2]
train	20200410134432	5	14	0.9910714	[1 1 0 1 1 1 2 1]	[1 1 0 1 1 1 2 1]
train	20200410134443	5	15	0.9916667	[0 2 2 2 0 2 2 1]	[0 2 2 2 0 2 2 1]
train	20200410134453	5	16	0.9921875	[1 2 2 0 2 0 2 2]	[1 2 2 0 2 0 2 2]
train	20200410134504	5	17	0.99264705	[0 0 2 0 2 1 2 2]	[0 0 2 0 2 1 2 2]
train	20200410134514	5	18	0.9861111	[2 0 2 2 1 0 2 0]	[2 0 2 2 0 0 2 0]
train	20200410134525	5	19	0.9868421	[2 1 1 0 2 0 2 2]	[2 1 1 0 2 0 2 2]
train	20200410134535	5	20	0.9875	[1 2 0 2 0 1 2 2]	[1 2 0 2 0 1 2 2]
train	20200410134546	5	21	0.9880952	[0 2 0 2 2 2 2 2]	[0 2 0 2 2 2 2 2]
train	20200410134557	5	22	0.9886364	[2 2 0 0 1 2 0 0]	[2 2 0 0 1 2 0 0]
train	20200410134607	5	23	0.98913044	[2 1 1 0 0 2 2 1]	[2 1 1 0 0 2 2 1]
train	20200410134617	5	24	0.984375	[1 1 1 1 2 0 1 1]	[1 1 1 1 2 1 1 1]
train	20200410134628	5	25	0.985	[2 1 0 1 0 1 1 0]	[2 1 0 1 0 1 1 0]
train	20200410134638	5	26	0.9855769	[2 2 0 2 0 0 2 2]	[2 2 0 2 0 0 2 2]
train	20200410134649	5	27	0.9861111	[1 0 2 0 1 0 2 1]	[1 0 2 0 1 0 2 1]
train	20200410134659	5	28	0.98660713	[0 0 0 1 1 0 1 2]	[0 0 0 1 1 0 1 2]
train	20200410134710	5	29	0.98706895	[1 0 1 1 0 2 0 0]	[1 0 1 1 0 2 0 0]
train	20200410134721	5	30	0.9875	[1 0 2 1 1 2 2 0]	[1 0 2 1 1 2 2 0]
train	20200410134732	5	31	0.98790324	[2 1 2 2 2 2 0 1]	[2 1 2 2 2 2 0 1]
train	20200410134743	5	32	0.98828125	[1 1 1 1 1 2 2 0]	[1 1 1 1 1 2 2 0]
train	20200410134753	5	33	0.9886364	[2 1 1 2 2 1 1 0]	[2 1 1 2 2 1 1 0]
train	20200410134804	5	34	0.9889706	[2 1 2 0 2 1 2 0]	[2 1 2 0 2 1 2 0]
train	20200410134814	5	35	0.9892857	[1 0 1 2 2 0 2 2]	[1 0 1 2 2 0 2 2]
train	20200410134825	5	36	0.9861111	[2 1 2 1 0 2 2 1]	[2 1 2 1 0 2 2 2]
train	20200410134837	5	37	0.9864865	[2 2 2 2 2 2 1 2]	[2 2 2 2 2 2 1 2]
train	20200410134847	5	38	0.9868421	[2 2 2 1 1 0 1 2]	[2 2 2 1 1 0 1 2]
train	20200410134859	5	39	0.98717946	[2 0 2 0 2 1 2 2]	[2 0 2 0 2 1 2 2]
train	20200410134910	5	40	0.9875	[2 1 1 1 2 0 2 0]	[2 1 1 1 2 0 2 0]
train	20200410134921	5	41	0.9878049	[1 1 0 0 2 0 2 1]	[1 1 0 0 2 0 2 1]
